product_id,product_category_name,product_category_name_eng,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,sample,img,gender,article_type,colour,season,title,revenue,margin,promotion
f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,bags accessories,52,573,5,3600,35,25,50,1,49005.jpg,Women,Ring,Silver,Summer,Lucera Women Silver Ring,59.97,26.39,0
4c8056caed5757810b9a68b83c3759e6,malas_acessorios,bags accessories,53,1291,2,450,20,40,30,1,48311.jpg,Women,Bracelet,Bronze,Winter,Pitaraa Women Bronze Beaded Bracelet,19.95,8.38,1
30e77af9e7759bbaa0305d2fbc605dc4,fashion_calcados,fashion footwear,60,402,2,2000,32,12,37,1,8574.jpg,Women,Sandals,Pink,Fall,Crocs Dora Boots Pink Sandals,109.97,37.39,0
1eb4a9aee05c9cad041e09add2a26d68,malas_acessorios,bags accessories,51,244,1,800,38,8,28,1,35322.jpg,Women,Earrings,Silver,Winter,Fabindia Women Anusuya Silver Earrings,29.95,14.08,0
65a6462e42e05ab3b8dc613566736825,malas_acessorios,bags accessories,49,540,4,1100,39,12,28,1,35128.jpg,Women,Bracelet,Purple,Winter,Allen Solly Woman Purple Bangle,19.98,8.59,0
6d14f72afff32795290f2df6507f063c,malas_acessorios,bags accessories,59,413,3,2300,84,14,20,1,48320.jpg,Women,Bracelet,Silver,Winter,Pitaraa Silver Omelette Thin Bracelet,79.96,35.98,1
a04cf12934a318be6550b1aeab938bf2,fashion_calcados,fashion footwear,59,605,5,4000,57,14,36,1,54118.jpg,Women,Heels,Black,Winter,Rocia Women Black Flats,59.97,19.19,0
f6691c7e7a0c12d28003c97608dfe605,fashion_roupa_masculina,fashion menswear,47,1026,2,950,40,6,40,1,39386.jpg,Men,Jeans,Blue,Summer,Peter England Men Party Blue Jeans,79.96,3.2,0
795ed173180b101b114960e572d2181f,malas_acessorios,bags accessories,43,215,1,700,45,10,31,1,56214.jpg,Women,Earrings,Gold,Winter,Estelle Women Gold Earrings,19.98,9.19,0
0a17941f41b99d2f070fab54b458a4a4,malas_acessorios,bags accessories,28,453,1,300,16,23,19,1,48927.jpg,Women,Ring,Silver,Summer,Lucera Women Silver Ring,19.96,8.78,1
5cfe07a11fd4f35d3c5ca21cd60cee6e,fashion_calcados,fashion footwear,54,404,4,750,22,12,33,1,43957.jpg,Women,Sandals,Grey,Fall,Puma Women Grey Techno Ind Sandals,119.99,37.2,0
8a4667ce8c036b0d54dd65a38298bfc0,malas_acessorios,bags accessories,45,224,1,950,46,10,33,1,25947.jpg,Women,Scarves,Brown,Summer,Femella Women Brown Scarf,69.99,8.4,1
ef22b718807d8b96162d9b021912f178,fashion_roupa_masculina,fashion menswear,36,940,2,300,16,2,11,1,15970.jpg,Men,Shirts,Navy Blue,Fall,Turtle Check Men Navy Blue Shirt,99.97,12,0
e8f22df5fa5b454907286aa61d6216a8,fashion_calcados,fashion footwear,57,404,2,1500,22,12,33,1,4140.jpg,Women,Casual Shoes,Green,Winter,Skechers Women Green Shoe,69.95,27.28,0
5e459bd31247ee46fa95b09556600a6a,fashion_calcados,fashion footwear,44,284,12,300,29,7,16,1,59051.jpg,Women,Flats,Black,Winter,Carlton London Women Black & Gold Toned Flats,119.97,10.8,1
a2bd2eae20998a24c22b110334928b02,malas_acessorios,bags accessories,39,278,1,700,19,48,35,1,53108.jpg,Women,Earrings,Silver,Winter,Fabindia Silver Earrings,59.95,26.98,0
55103cbbe0851d3a303a022cc4140628,malas_acessorios,bags accessories,32,1064,5,2900,40,55,30,1,47957.jpg,Women,Handbags,Blue,Summer,Murcia Women Blue Handbag,89.98,9,0
1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,bags accessories,21,769,4,1600,55,37,30,1,49034.jpg,Women,Ring,Silver,Summer,Lucera Women Silver Ring,89.98,38.69,0
e19c8e70d39de9646d64163a66051797,fashion_roupa_masculina,fashion menswear,32,713,2,800,20,7,20,1,16508.jpg,Men,Jeans,Blue,Fall,Locomotive Men Washed Blue Jeans,69.98,4.2,0
2b27cb23faa03f71607fcdd1539387f3,malas_acessorios,bags accessories,59,857,7,1100,35,14,29,1,52224.jpg,Women,Necklace and Chains,Silver,Summer,Lencia Grey Swarovski Pearl Necklace,99.98,42.99,0
